elapsed_secs,http_ops_s,websocket_ops_s,upload_ops_s,http_p95_ms,websocket_p95_ms,upload_p95_ms,error_rate
1.001,2680.953,42.967,61.953,22.585,230.541,88.003,0.000000
2.001,2971.037,43.971,72.952,20.660,232.405,70.174,0.000000
3.003,2721.857,43.949,66.923,21.296,232.995,72.043,0.000000
4.003,3002.428,43.962,73.937,20.773,232.995,70.287,0.000000
5.004,2815.396,43.959,69.935,20.836,232.995,71.054,0.000000
6.006,2621.553,44.941,64.915,21.186,233.874,74.002,0.000366
7.006,1919.651,43.969,47.966,22.791,246.888,81.406,0.000000
8.008,2547.722,43.926,63.893,23.164,245.923,85.810,0.000000
9.008,2980.176,43.988,72.980,22.681,244.655,80.828,0.000000
10.010,2902.906,43.923,70.876,22.385,243.140,79.961,0.000000
11.010,2963.149,43.987,71.979,22.088,237.744,77.112,0.000000
12.011,3006.921,43.955,73.924,21.807,236.735,75.827,0.000000
13.012,2758.046,43.953,66.928,21.778,243.215,77.058,0.000000
14.014,2827.767,43.950,69.920,21.638,242.079,75.858,0.000000
15.014,2624.904,43.965,64.948,21.602,240.370,75.635,0.000000
16.015,2919.016,43.955,72.925,21.519,237.808,75.185,0.000000
17.016,2842.146,43.956,69.930,21.449,236.987,74.552,0.000000
18.018,2532.574,43.923,62.890,21.583,236.735,75.635,0.000000
19.019,2633.495,43.975,64.963,21.707,236.464,76.993,0.000000
20.020,2213.108,43.943,54.928,22.019,239.293,80.661,0.000000
21.020,1937.160,43.981,47.979,22.726,238.180,86.933,0.000000
22.021,1991.169,43.960,50.953,23.249,237.948,88.614,0.000000
23.023,1700.392,43.933,42.934,24.107,239.081,92.772,0.000000
24.024,2022.797,43.974,50.970,24.724,238.025,94.670,0.000000
25.024,2313.054,43.963,57.951,25.011,237.808,94.669,0.000000
26.026,2472.790,43.943,61.920,24.989,238.794,93.170,0.000000
27.026,2086.447,43.967,52.961,25.245,238.180,94.670,0.000000
28.028,1934.738,43.949,48.943,25.503,239.604,95.442,0.000000
29.029,2726.402,43.958,66.936,25.312,239.355,95.009,0.000000
30.000,2167.872,45.271,54.531,25.460,239.373,95.088,0.000000
